Impact,Lithium scenario,Year,Country,Project name,Intensity
Water scarcity,S&P-Very Ambitious,2025,CN,Lakkor Tso,15.228137131010078
Water scarcity,S&P-Very Ambitious,2025,CN,Qinghai Yiliping,13.89856576239658
Water scarcity,S&P-Very Ambitious,2025,CN,Zhabuye,3.255948674382302
Water scarcity,S&P-Very Ambitious,2025,CN,Chaerhan,10.738822857663013
Water scarcity,S&P-Very Ambitious,2025,US,Silver Peak,4.06870424951914
Water scarcity,S&P-Very Ambitious,2025,CL,Salar de Atacama,6.041992183879649
Water scarcity,S&P-Very Ambitious,2030,CL,Maricunga,17.65555355133982
Water scarcity,S&P-Very Ambitious,2030,CL,Salar de Atacama,6.025192217641922
Water scarcity,S&P-Very Ambitious,2030,DE,Upper Rhine Graben,4.706963685773087
Water scarcity,S&P-Very Ambitious,2030,BO,Salar de Uyuni,32.03702424772211
Water scarcity,S&P-Very Ambitious,2030,US,Silver Peak,4.033212712846026
Water scarcity,S&P-Very Ambitious,2030,CN,East Taijinar,11.886865960882808
Water scarcity,S&P-Very Ambitious,2030,CN,Lakkor Tso,15.120401442959208
Water scarcity,S&P-Very Ambitious,2030,CN,Qinghai Yiliping,13.799633174623251
Water scarcity,S&P-Very Ambitious,2030,CN,Zhabuye,3.2287633970420195
Water scarcity,S&P-Very Ambitious,2030,CN,Chaerhan,10.639291214837796
Water scarcity,S&P-Very Ambitious,2030,AR,Salar del Rincon,16.449232383924606
Water scarcity,S&P-Very Ambitious,2030,AR,Salar de Olaroz,2.96474980059502
Water scarcity,S&P-Very Ambitious,2030,AR,Salar de Centenario,12.892628003498249
Water scarcity,S&P-Very Ambitious,2030,AR,Salar del Hombre Muerto North,3.05395115287458
Water scarcity,S&P-Very Ambitious,2030,AR,Salar de Tolillar,12.584346033902442
Water scarcity,S&P-Very Ambitious,2030,AR,Sal de Vida,2.033087380395277
Water scarcity,S&P-Very Ambitious,2030,AR,Pozuelos,42.74543092938119
Water scarcity,S&P-Very Ambitious,2030,AR,Fenix,10.482439447712665
Water scarcity,S&P-Very Ambitious,2030,AR,Kachi,16.140070310150012
Water scarcity,S&P-Very Ambitious,2030,AR,Salar de Cauchari-Olaroz,2.7278755999669273
Water scarcity,S&P-Very Ambitious,2030,AR,Sal de los Angeles,12.464142715633033
Water scarcity,S&P-Very Ambitious,2030,AR,Tres Quebradas,7.863586710236066
Water scarcity,S&P-Very Ambitious,2030,AR,Salar de Pastos Grandes,11.520614026474634
Water scarcity,S&P-Very Ambitious,2030,AR,Salar de Arizaro,26.836408265472766
Water scarcity,S&P-Very Ambitious,2035,AR,Salar del Rincon,16.923244726212985
Water scarcity,S&P-Very Ambitious,2035,AR,Salar de Olaroz,3.1791540622365204
Water scarcity,S&P-Very Ambitious,2035,AR,Salar de Centenario,13.41220144971325
Water scarcity,S&P-Very Ambitious,2035,AR,Salar del Hombre Muerto North,3.2201392568114744
Water scarcity,S&P-Very Ambitious,2035,AR,Salar de Tolillar,13.230598897964182
Water scarcity,S&P-Very Ambitious,2035,AR,Sal de Vida,2.1661734451954384
Water scarcity,S&P-Very Ambitious,2035,AR,Pozuelos,43.27119399677376
Water scarcity,S&P-Very Ambitious,2035,AR,Fenix,11.006732121217066
Water scarcity,S&P-Very Ambitious,2035,AR,Kachi,16.85866880744342
Water scarcity,S&P-Very Ambitious,2035,AR,Salar de Cauchari-Olaroz,2.879222599696064
Water scarcity,S&P-Very Ambitious,2035,AR,Sal de los Angeles,13.002789652917548
Water scarcity,S&P-Very Ambitious,2035,AR,Tres Quebradas,8.07039166756686
Water scarcity,S&P-Very Ambitious,2035,AR,Salar de Pastos Grandes,11.84026055478719
Water scarcity,S&P-Very Ambitious,2035,AR,Salar de Arizaro,27.21811270295056
Water scarcity,S&P-Very Ambitious,2035,CN,East Taijinar,11.725082105466857
Water scarcity,S&P-Very Ambitious,2035,CN,Lakkor Tso,14.998389467513812
Water scarcity,S&P-Very Ambitious,2035,CN,Qinghai Yiliping,13.68678731167488
Water scarcity,S&P-Very Ambitious,2035,CN,Zhabuye,3.203914736852462
Water scarcity,S&P-Very Ambitious,2035,CN,Chaerhan,10.525905418335888
Water scarcity,S&P-Very Ambitious,2035,DE,Upper Rhine Graben,4.420103357238594
Water scarcity,S&P-Very Ambitious,2035,BO,Salar de Uyuni,31.09400655572529
Water scarcity,S&P-Very Ambitious,2035,US,Silver Peak,4.005879451283902
Water scarcity,S&P-Very Ambitious,2035,CL,Maricunga,17.63724723742691
Water scarcity,S&P-Very Ambitious,2035,CL,Salar de Atacama,6.017844076987891
